"publishedTimeText","simpleText","votes","author","isReply","isHearted","isPinned","isPaid","paidAmount","isSponsor","sponsorshipMonths"
"1 year ago","Things our education system lacks as of now~ 1. Education 2. System","2217","@MaybeSomeone7483","false","true","false","false","","false",""
"1 year ago","kapil sharma show??","49","@cs372","true","false","false","false","","false",""
"1 year ago","Veryyy funny","21","@Schrodinger-c7g","true","false","false","false","","false",""
"1 year ago","WhatsApp University?","48","@riyaz4880","true","false","false","false","","false",""
"1 year ago","Same in Bangladesh","11","@jahidhosssin54456","true","false","false","false","","false",""
"1 year ago (edited)"," @riyaz4880  Stop you propagandist","27","@jahidhosssin54456","true","false","false","false","","false",""
"1 year ago","I have seen this comment nearly on every video about indian education system","31","@adityaverma6189","true","false","false","false","","false",""
"1 year ago","Has lo sablog Bhai ne kamedy ki hai","14","@soulking_adi","true","false","false","false","","false",""
"1 year ago","Too old bro 🙂🙂 update this line we've education but the system is corrupted so much that education isn't worth right although know the situations is changing but","14","@sankalpadvani500","true","false","false","false","","false",""
"1 year ago","bhayankar komedi","4","@cesraw","true","false","false","false","","false",""
"1 year ago","😂😂 that makes sense","1","@shikhargupta3743","true","false","false","false","","false",""
"1 year ago"," @jahidhosssin54456  Propa-GAND-ist","2","@user-qr8pq4hk5r","true","false","false","false","","false",""
"1 year ago","Bro thinks he is funny","3","@satvik222","true","false","false","false","","false",""
"1 year ago","3.Indian","4","@SHORTS_5876","true","false","false","false","","false",""
"1 year ago","Fr man","0","@buntyshetty9780","true","false","false","false","","false",""
"1 year ago","~Alive students","2","@MrStealthy007","true","false","false","false","","false",""
"1 year ago","and you lack creativity","4","@sadhansanil6625","true","false","false","false","","false",""
"1 year ago"," @SHORTS_5876  most underrated reply to this comment","0","@illhelpyoudude","true","false","false","false","","false",""
"1 year ago","Indian Education - Business 😥","1","@_Divyansh","true","false","false","false","","false",""
"1 year ago (edited)"," @sadhansanil6625  he's from the indian education system","1","@MrStealthy007","true","false","false","false","","false",""
"1 year ago","bhayanak comedy ho gyi mtlb har indian education system pe ye comment mil jaega","1","@ShubhamSingh-we8hv","true","false","false","false","","false",""
"1 year ago","cliche","0","@ElonMusk-bd4dm","true","false","false","false","","false",""
"1 year ago","​ @adityaverma6189  same... Very overused","0","@quinnray4721","true","false","false","false","","false",""
"1 year ago","General knowledge also","0","@gayatrimantha5786","true","false","false","false","","false",""
"1 year ago","Ye joke toh jb Khan sir aye they Kapil Sharma ke show pr tb suna tha","1","@abhay5","true","false","false","false","","false",""
"1 year ago","🤣🤣","0","@higgsboson67","true","false","false","false","","false",""
"1 year ago"," @riyaz4880  Bhai usse jada padhai ho rhi hai, school me bas ""Tum log bohot gadhe ho"" aur bas explanation hota hai, koi interaction aur insight nhi, sivay chemistry k, wo sir acche hai, par phir bhi thora slow chal rha hai. Yt se padho din raat, exam k pele sabhi wahi krte he to abhi kyu ni","0","@Htleveryday","true","false","false","false","","false",""
